"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Light of Judgment","R","C","191739","5.94","25462","8.56","91142","60.0%","53.1%","15118","49.9%","23804","55.3%","38922","53.2%","51761","53.0%","0.2pp"
"Mysidian Elder","R","C","191668","6.18","24615","8.81","78860","53.8%","52.7%","13856","50.4%","19896","53.1%","33752","52.0%","44648","53.2%","-1.2pp"
"Nibelheim Aflame","R","M","4276","1.94","2510","1.85","13427","85.4%","58.2%","2280","62.2%","3562","65.2%","5842","64.1%","7499","53.5%","10.6pp"
"Opera Love Song","R","U","77580","6.39","9215","9.38","19025","34.2%","54.0%","3270","50.3%","4553","55.0%","7823","53.1%","11137","54.6%","-1.6pp"
"Prompto Argentum","R","U","62034","4.71","11076","6.23","51162","76.4%","55.4%","9321","56.8%","12783","56.0%","22104","56.3%","28933","54.7%","1.7pp"
"Queen Brahne","R","U","53726","4.21","9081","5.52","39630","74.1%","53.0%","7033","54.0%","10019","52.0%","17052","52.8%","22416","53.1%","-0.3pp"
"Random Encounter","R","U","85921","7.99","9476","11.76","2185","3.8%","47.3%","343","","516","48.4%","859","47.3%","1324","47.5%","-0.2pp"
"Raubahn, Bull of Ala Mhigo","R","R","14855","3.16","3210","3.64","13337","71.7%","53.0%","2422","53.4%","3106","52.1%","5528","52.7%","7791","53.3%","-0.6pp"
"Red Mage's Rapier","R","C","199008","6.60","23540","9.53","64772","46.2%","52.4%","11662","50.7%","15441","51.1%","27103","50.9%","36992","53.3%","-2.4pp"
"Sabotender","R","C","199510","6.72","20477","10.10","43977","36.2%","52.1%","7842","52.4%","10256","51.2%","18098","51.7%","25770","52.4%","-0.6pp"
"Samurai's Katana","R","U","43359","3.35","13617","3.80","72752","86.2%","57.9%","13072","61.1%","17533","60.2%","30605","60.5%","41402","55.7%","4.8pp"
"Sandworm","R","U","74009","5.97","9774","8.55","24994","43.3%","52.4%","4176","50.0%","6129","53.4%","10305","52.0%","14639","52.5%","-0.5pp"
"Seifer Almasy","R","R","8372","1.86","4529","1.83","24664","89.3%","55.8%","4267","58.1%","6329","58.9%","10596","58.6%","13971","53.5%","5.1pp"
"Self-Destruct","R","U","79302","6.82","8640","10.23","9794","19.2%","51.3%","1663","47.9%","2320","52.8%","3983","50.7%","5792","51.5%","-0.8pp"
"Sidequest: Play Blitzball","R","U","74830","6.47","7513","9.84","10335","23.2%","51.6%","1708","48.8%","2424","48.4%","4132","48.6%","6192","53.6%","-5.0pp"
"Sorceress's Schemes","R","U","80068","6.89","13076","9.07","33679","42.5%","56.6%","5536","53.7%","9152","60.7%","14688","58.1%","18824","55.3%","2.7pp"
"Summon: Brynhildr","R","R","14117","2.99","3668","3.33","16139","76.4%","52.2%","2915","49.8%","3997","54.8%","6912","52.7%","9159","51.8%","1.0pp"
"Summon: Esper Ramuh","R","U","63278","4.95","10213","6.59","37102","61.5%","53.1%","6183","49.7%","9906","54.6%","16089","52.7%","20700","53.3%","-0.6pp"
"Summon: G.F. Cerberus","R","R","12164","2.64","4077","2.79","19062","79.9%","52.4%","3215","51.2%","4995","52.7%","8210","52.1%","10772","52.5%","-0.3pp"
"Summon: G.F. Ifrit","R","C","193493","6.12","24200","8.76","73568","51.4%","52.2%","12909","49.3%","18239","52.1%","31148","51.0%","42180","53.1%","-2.2pp"
"Suplex","R","C","126837","3.67","29953","4.63","160657","88.7%","55.5%","28256","54.7%","40496","58.1%","68752","56.7%","90930","54.6%","2.1pp"
"Thunder Magic","R","C","112520","3.32","35200","3.92","193988","90.0%","56.5%","33942","56.8%","49480","59.7%","83422","58.5%","109222","54.9%","3.6pp"
"Triple Triad","R","R","26812","5.51","3510","8.08","4805","23.0%","51.3%","804","47.0%","1213","52.6%","2017","50.4%","2773","51.9%","-1.6pp"
"Unexpected Request","R","U","80888","6.99","8825","10.44","9747","18.5%","51.9%","1630","49.7%","2278","54.1%","3908","52.3%","5795","51.5%","0.8pp"
"Vaan, Street Thief","R","R","17684","3.67","2842","4.76","8894","54.3%","49.8%","1533","44.5%","2218","48.9%","3751","47.1%","5126","51.9%","-4.7pp"
"Warrior's Sword","R","C","191959","5.99","28407","8.33","113820","66.4%","55.0%","18978","54.0%","28392","55.8%","47370","55.1%","65476","54.8%","0.3pp"
"Zell Dincht","R","R","15694","3.34","3298","3.94","13286","68.3%","53.7%","2301","57.5%","3101","53.7%","5402","55.3%","7856","52.6%","2.7pp"
"Airship Crash","G","C","212631","7.33","23613","10.81","42141","29.9%","53.1%","7215","49.8%","10167","55.4%","17382","53.1%","24586","53.0%","0.1pp"
"Ancient Adamantoise","G","M","5920","2.55","2017","2.62","9612","79.2%","55.3%","1604","53.6%","2438","61.8%","4042","58.5%","5465","52.8%","5.7pp"
"Balamb T-Rexaur","G","C","161565","4.72","29969","6.28","153583","84.9%","55.2%","27071","53.4%","37829","57.7%","64900","55.9%","87488","54.6%","1.4pp"
"Bard's Bow","G","C","196013","6.12","27853","8.63","107248","63.7%","55.0%","18711","54.5%","25670","56.1%","44381","55.4%","61810","54.6%","0.9pp"
"Bartz and Boko","G","R","12047","2.64","3644","2.77","15039","68.6%","55.0%","2569","55.4%","3510","56.0%","6079","55.8%","8664","53.9%","1.9pp"
"Blitzball Shot","G","C","214395","7.53","25358","10.88","43805","28.7%","53.4%","7331","51.7%","10148","55.6%","17479","53.9%","26239","53.1%","0.8pp"
"Cactuar","G","U","79035","6.98","8569","10.43","10458","20.7%","51.7%","1888","51.9%","2302","49.7%","4190","50.7%","6236","52.3%","-1.6pp"
"Chocobo Kick","G","C","143781","4.17","30380","5.37","161422","87.5%","55.8%","26917","54.4%","39310","59.6%","66227","57.5%","94066","54.5%","3.0pp"
"Chocobo Racetrack","G","U","51669","4.22","7728","5.51","31323","69.6%","51.7%","5265","50.8%","7429","52.4%","12694","51.7%","18374","51.6%","0.1pp"
"Clash of the Eikons","G","U","63846","4.92","9856","6.71","38630","65.9%","53.5%","6419","51.2%","9514","55.4%","15933","53.7%","22575","53.4%","0.3pp"
